,volatile_acidity,free_sulfur_dioxide,total_sulfur_dioxide,pH,alcohol
0,0.7,11.0,34.0,3.51,9.4
1,0.88,25.0,67.0,3.2,9.8
2,0.76,15.0,54.0,3.26,9.8
3,0.28,17.0,60.0,3.16,9.8
4,0.7,11.0,34.0,3.51,9.4
5,0.66,13.0,40.0,3.51,9.4
6,0.6,15.0,59.0,3.3,9.4
7,0.65,15.0,21.0,3.39,10.0
8,0.58,9.0,18.0,3.36,9.5
9,0.5,17.0,102.0,3.35,10.5
10,0.58,15.0,65.0,3.28,9.2
11,0.5,17.0,102.0,3.35,10.5
12,0.615,16.0,59.0,3.58,9.9
13,0.61,9.0,29.0,3.26,9.1
14,0.62,52.0,145.0,3.16,9.2
15,0.62,51.0,148.0,3.17,9.2
16,0.28,35.0,103.0,3.3,10.5
17,0.56,16.0,56.0,3.11,9.3
18,0.59,6.0,29.0,3.38,9.0
19,0.32,17.0,56.0,3.04,9.2
20,0.22,29.0,60.0,3.39,9.4
21,0.39,23.0,71.0,3.52,9.7
22,0.43,10.0,37.0,3.17,9.5
23,0.49,9.0,67.0,3.17,9.4
24,0.4,21.0,40.0,3.43,9.7
25,0.39,11.0,23.0,3.34,9.3
26,0.41,4.0,11.0,3.28,9.5
27,0.43,10.0,37.0,3.17,9.5
28,0.71,14.0,35.0,3.47,9.4
29,0.645,8.0,16.0,3.38,9.8
30,0.675,17.0,82.0,3.35,10.1
31,0.685,22.0,37.0,3.46,10.6
32,0.655,15.0,113.0,3.17,9.8
33,0.605,40.0,83.0,3.45,9.4
34,0.32,13.0,50.0,3.38,9.2
35,0.645,5.0,18.0,3.4,9.6
36,0.6,3.0,15.0,3.42,10.8
37,0.38,13.0,30.0,3.23,9.7
38,1.13,7.0,19.0,3.5,9.8
39,0.45,12.0,87.0,3.33,10.5
40,0.45,12.0,87.0,3.33,10.5
41,0.61,17.0,46.0,3.26,9.3
42,0.49,8.0,14.0,3.21,10.5
43,0.66,9.0,23.0,3.3,10.3
44,0.67,5.0,11.0,3.48,9.5
45,0.52,8.0,65.0,3.9,13.1
46,0.935,22.0,114.0,3.25,9.2
47,0.29,12.0,37.0,3.25,9.5
48,0.4,5.0,12.0,3.34,9.2
49,0.31,12.0,96.0,3.32,9.2
50,0.66,4.0,23.0,3.15,9.2
51,0.52,8.0,15.0,3.4,9.4
52,0.5,6.0,14.0,3.39,9.4
53,0.38,30.0,119.0,3.2,9.4
54,0.51,33.0,73.0,3.17,10.2
55,0.62,25.0,45.0,3.34,9.5
56,0.42,4.0,10.0,3.04,9.6
57,0.63,50.0,110.0,3.26,9.4
58,0.59,17.0,54.0,3.43,10.0
59,0.39,9.0,46.0,3.41,9.4
60,0.4,19.0,52.0,3.44,9.2
61,0.69,20.0,112.0,3.21,9.3
62,0.52,12.0,35.0,3.38,9.5
63,0.735,13.0,54.0,3.39,9.8
64,0.725,4.0,11.0,3.41,10.9
65,0.725,4.0,11.0,3.41,10.9
66,0.52,11.0,39.0,3.42,9.6
67,0.705,6.0,15.0,3.44,10.7
68,0.32,27.0,65.0,3.28,10.7
69,0.705,8.0,19.0,3.34,10.5
70,0.63,15.0,27.0,3.32,9.5
71,0.67,17.0,96.0,3.32,9.5
72,0.69,18.0,94.0,3.31,9.5
73,0.675,11.0,43.0,3.31,9.2
74,0.32,28.0,83.0,3.28,9.6
75,0.41,9.0,42.0,3.54,10.5
76,0.41,9.0,42.0,3.54,10.5
77,0.785,14.0,30.0,3.52,10.7
78,0.75,12.0,80.0,3.38,10.1
79,0.625,27.0,119.0,3.16,9.1
80,0.45,3.0,15.0,3.41,9.2
81,0.43,22.0,67.0,3.13,9.4
82,0.5,21.0,73.0,3.36,9.1
83,0.67,16.0,51.0,3.16,9.4
84,0.3,18.0,61.0,3.44,10.3
85,0.55,19.0,40.0,3.41,10.1
86,0.49,20.0,136.0,2.93,9.9
87,0.49,9.0,31.0,3.39,9.6
88,0.39,34.0,125.0,3.14,9.5
89,0.62,8.0,24.0,3.48,9.0
90,0.52,42.0,140.0,3.23,9.5
91,0.49,20.0,136.0,2.93,9.9
92,0.49,19.0,133.0,2.93,9.8
93,0.49,9.0,31.0,3.39,9.6
94,1.02,41.0,85.0,3.75,10.5
95,0.6,17.0,106.0,3.85,12.9
96,0.775,8.0,23.0,3.45,10.7
97,0.5,3.0,22.0,3.25,9.2
98,0.9,5.0,10.0,3.39,9.8
99,0.545,13.0,35.0,3.3,9.0
100,0.61,11.0,50.0,3.4,10.2
101,0.5,8.0,22.0,3.31,10.4
102,0.545,13.0,35.0,3.3,9.0
103,0.575,12.0,65.0,3.29,9.2
104,0.49,5.0,36.0,3.33,9.4
105,0.575,12.0,65.0,3.29,9.2
106,0.41,18.0,69.0,3.08,9.3
107,0.63,15.0,64.0,3.46,9.3
108,0.33,18.0,80.0,3.37,9.6
109,0.785,37.0,153.0,3.21,9.3
110,0.56,12.0,47.0,3.19,9.5
111,0.62,11.0,108.0,3.15,9.8
112,0.6,14.0,111.0,3.15,9.8
113,0.31,22.0,46.0,3.32,9.7
114,0.56,12.0,47.0,3.19,9.5
115,0.4,13.0,62.0,3.07,10.5
116,0.54,11.0,40.0,3.39,10.0
117,0.56,7.0,28.0,3.37,9.4
118,0.55,14.0,56.0,3.21,10.9
119,0.69,22.0,89.0,3.34,9.2
120,1.07,10.0,89.0,3.3,9.0
121,0.55,14.0,56.0,3.21,10.9
122,0.695,3.0,13.0,3.49,9.2
123,0.71,11.0,34.0,3.44,9.5
124,0.5,21.0,102.0,3.39,9.5
125,0.62,27.0,90.0,3.16,9.4
126,1.33,3.0,12.0,3.53,10.9
127,1.33,3.0,12.0,3.54,10.9
128,0.59,3.0,16.0,3.42,10.5
129,0.38,6.0,19.0,3.42,9.4
130,0.745,30.0,134.0,3.24,9.4
131,0.5,17.0,99.0,3.63,13.0
132,0.5,17.0,99.0,3.63,13.0
133,0.5,17.0,26.0,3.4,9.8
134,1.04,13.0,29.0,3.22,9.9
135,0.745,16.0,63.0,3.19,9.6
136,0.715,10.0,52.0,3.23,9.5
137,0.415,13.0,45.0,3.48,9.2
138,0.56,15.0,105.0,3.33,9.5
139,0.56,17.0,108.0,3.32,9.5
140,0.745,16.0,63.0,3.19,9.6
141,0.715,10.0,52.0,3.23,9.5
142,0.34,27.0,63.0,3.68,14.0
143,0.39,3.0,20.0,3.34,9.4
144,0.34,27.0,63.0,3.68,14.0
145,0.67,32.0,141.0,3.17,9.4
146,0.68,21.0,94.0,3.54,10.0
147,0.49,10.0,88.0,3.11,9.3
148,0.49,12.0,30.0,3.42,10.2
149,0.4,11.0,43.0,3.53,10.5
150,0.33,5.0,11.0,3.33,10.3
151,0.52,32.0,69.0,2.74,9.4
152,0.6,25.0,99.0,3.35,10.1
153,0.6,25.0,99.0,3.35,10.1
154,0.43,29.0,129.0,3.42,10.5
155,0.43,28.0,128.0,3.42,10.5
156,0.43,29.0,129.0,3.42,10.5
157,0.43,28.0,128.0,3.42,10.5
158,0.68,12.0,22.0,3.48,9.3
159,0.6,18.0,86.0,3.59,9.3
160,0.95,7.0,20.0,3.2,9.6
161,0.68,9.0,20.0,3.17,9.2
162,0.53,17.0,31.0,3.33,10.0
163,0.6,36.0,121.0,3.37,9.4
164,0.59,35.0,121.0,3.37,9.4
165,0.63,14.0,96.0,3.19,9.5
166,0.64,18.0,101.0,3.34,10.2
167,0.55,17.0,42.0,3.37,9.0
168,0.63,11.0,44.0,3.47,10.4
169,0.705,15.0,63.0,3.0,9.5
170,0.885,4.0,8.0,3.36,9.1
171,0.42,6.0,18.0,3.29,9.2
172,0.42,6.0,18.0,3.29,9.2
173,0.62,24.0,42.0,3.42,11.5
174,0.38,7.0,35.0,3.33,9.5
175,0.5,19.0,49.0,3.35,9.5
176,0.38,7.0,35.0,3.33,9.5
177,0.52,8.0,38.0,3.58,10.5
178,0.805,7.0,20.0,3.48,9.6
179,0.61,10.0,42.0,3.19,9.5
180,0.61,10.0,42.0,3.19,9.5
181,0.61,23.0,110.0,3.12,9.3
182,0.73,16.0,42.0,3.44,9.3
183,0.61,11.0,65.0,3.54,9.3
184,0.62,8.0,62.0,3.52,9.3
185,0.31,26.0,85.0,3.26,9.7
186,0.39,14.0,67.0,3.34,9.2
187,0.705,9.0,26.0,3.39,9.7
188,0.5,15.0,143.0,3.2,9.5
189,0.49,17.0,144.0,3.2,9.5
190,0.5,21.0,127.0,3.23,9.4
191,0.37,21.0,49.0,3.57,9.8
192,0.63,16.0,126.0,3.28,9.5
193,0.55,7.0,28.0,3.28,9.7
194,0.55,7.0,28.0,3.28,9.7
195,0.59,24.0,120.0,3.25,9.4
196,0.58,15.0,55.0,3.46,10.2
197,0.3,12.0,27.0,3.11,10.1
198,0.835,13.0,93.0,3.57,13.0
199,1.09,12.0,31.0,3.51,11.4
200,0.32,9.0,24.0,3.22,10.3
201,0.37,39.0,145.0,3.04,9.3
202,0.5,16.0,49.0,3.36,9.5
203,0.42,16.0,39.0,3.34,9.2
204,0.43,14.0,37.0,3.34,9.2
205,0.3,9.0,28.0,3.2,10.8
206,0.3,9.0,28.0,3.2,10.8
207,0.57,26.0,120.0,3.29,9.3
208,0.44,18.0,95.0,3.22,9.4
209,0.3,7.0,19.0,3.31,10.5
210,0.53,5.0,19.0,3.3,12.4
211,0.725,10.0,62.0,3.35,10.0
212,0.44,5.0,15.0,3.21,10.2
213,0.57,28.0,65.0,3.3,10.1
214,0.735,10.0,41.0,3.24,9.8
215,0.49,26.0,121.0,3.34,10.5
216,0.625,13.0,49.0,3.14,11.0
217,0.725,11.0,41.0,3.36,9.1
218,0.49,10.0,44.0,3.39,9.7
219,0.53,24.0,144.0,3.3,9.5
220,0.34,24.0,58.0,3.34,9.4
221,0.53,16.0,72.0,3.15,9.4
222,0.61,5.0,10.0,3.42,9.5
223,0.645,8.0,28.0,3.28,10.0
224,0.635,15.0,55.0,3.31,10.4
225,0.43,29.0,63.0,3.37,10.5
226,0.59,27.0,81.0,3.04,9.5
227,0.82,9.0,23.0,3.39,9.8
228,0.43,29.0,63.0,3.37,10.5
229,0.52,10.0,37.0,3.46,11.0
230,0.48,19.0,106.0,3.54,12.2
231,0.38,12.0,49.0,3.37,9.9
232,0.37,18.0,58.0,3.34,9.6
233,0.52,10.0,37.0,3.46,11.0
234,1.0,7.0,37.0,3.32,9.0
235,0.63,14.0,38.0,3.37,9.0
236,0.63,14.0,38.0,3.37,9.0
237,0.645,15.0,39.0,3.37,9.2
238,0.63,14.0,38.0,3.37,9.0
239,1.0,7.0,37.0,3.32,9.0
240,0.635,5.0,62.0,3.0,9.3
241,0.38,6.0,24.0,3.14,10.9
242,0.58,28.0,109.0,3.08,9.8
243,0.21,10.0,24.0,3.07,9.2
244,0.21,10.0,24.0,3.07,9.2
245,0.66,6.0,23.0,3.61,9.9
246,0.68,16.0,51.0,3.38,9.5
247,0.6,11.0,73.0,3.2,9.3
248,0.53,9.0,39.0,3.35,9.8
249,0.66,6.0,23.0,3.61,9.9
250,0.32,16.0,37.0,3.22,10.0
251,0.6,16.0,34.0,3.47,9.9
252,0.35,5.0,21.0,3.17,10.5
253,0.775,8.0,86.0,3.23,9.5
254,0.6,16.0,34.0,3.47,9.9
255,0.57,17.0,119.0,3.26,9.3
256,0.34,5.0,13.0,3.22,9.2
257,0.695,12.0,56.0,3.49,9.2
258,0.41,8.0,45.0,3.06,9.4
259,0.31,14.0,33.0,3.36,10.5
260,0.33,18.0,45.0,3.29,9.3
261,0.975,12.0,67.0,3.35,9.4
262,0.52,10.0,35.0,3.34,10.0
263,0.37,23.0,49.0,3.28,9.3
264,0.56,5.0,27.0,3.08,10.9
265,0.26,6.0,10.0,3.2,10.2
266,0.87,26.0,61.0,3.6,9.8
267,0.35,15.0,37.0,3.35,12.8
268,0.54,7.0,27.0,3.69,9.4
269,0.18,4.0,23.0,3.28,10.1
270,0.545,27.0,61.0,3.36,10.7
271,0.18,4.0,23.0,3.28,10.1
272,0.37,17.0,65.0,3.22,10.1
273,0.715,10.0,38.0,3.31,9.4
274,0.65,27.0,94.0,3.38,9.4
275,0.545,27.0,61.0,3.36,10.7
276,0.54,7.0,27.0,3.69,9.4
277,0.18,4.0,23.0,3.28,10.1
278,0.32,5.0,13.0,3.23,12.6
279,0.4,10.0,47.0,3.38,10.5
280,0.26,6.0,19.0,3.12,9.3
281,0.27,5.0,10.0,3.25,9.9
282,0.52,12.0,53.0,3.36,9.1
283,0.4,10.0,47.0,3.38,10.5
284,0.59,32.0,71.0,3.31,9.8
285,0.59,32.0,71.0,3.31,9.8
286,0.45,25.0,49.0,3.1,10.3
287,0.4,29.0,53.0,3.37,10.3
288,0.52,20.0,49.0,3.34,10.6
289,0.42,33.0,98.0,3.2,9.2
290,0.52,20.0,49.0,3.34,10.6
291,0.2,6.0,18.0,3.3,10.5
292,0.55,18.0,48.0,3.22,10.3
293,0.36,5.0,16.0,3.41,10.1
294,0.34,17.0,53.0,3.05,9.5
295,0.5,5.0,27.0,3.05,9.5
296,0.83,26.0,70.0,3.16,9.9
297,0.63,8.0,29.0,3.67,9.6
298,0.65,5.0,31.0,3.67,9.7
299,0.67,8.0,33.0,3.68,9.6
300,0.53,20.0,44.0,3.38,10.7
301,0.18,7.0,15.0,3.22,10.1
302,0.705,12.0,28.0,3.51,10.0
303,0.67,5.0,21.0,3.39,9.5
304,0.65,12.0,90.0,3.2,9.2
305,0.53,6.0,25.0,3.12,9.3
306,0.62,7.0,54.0,3.36,9.4
307,0.41,6.0,14.0,3.19,9.5
308,0.43,5.0,12.0,3.19,9.5
309,0.29,9.0,30.0,3.41,9.5
310,0.53,6.0,25.0,3.12,9.3
311,0.53,15.0,105.0,3.27,9.4
312,0.46,19.0,98.0,3.32,9.5
313,0.47,30.0,135.0,3.3,9.4
314,0.36,26.0,72.0,3.39,11.0
315,0.35,20.0,53.0,3.42,11.0
316,0.56,37.0,92.0,3.3,10.1
317,0.77,30.0,74.0,3.3,10.4
318,0.66,21.0,59.0,3.37,11.5
319,0.77,30.0,74.0,3.3,10.4
320,0.66,21.0,59.0,3.37,11.5
321,0.61,25.0,87.0,3.24,9.7
322,0.62,6.0,18.0,3.29,9.3
323,0.59,35.0,73.0,3.28,9.5
324,0.49,13.0,50.0,3.16,9.2
325,0.49,13.0,50.0,3.16,9.2
326,0.53,6.0,14.0,3.05,11.5
327,0.44,5.0,13.0,3.28,11.5
328,0.27,6.0,21.0,3.16,9.7
329,0.46,7.0,15.0,3.18,9.5
330,0.36,10.0,41.0,3.23,12.5
331,0.36,10.0,41.0,3.23,12.5
332,0.58,21.0,114.0,3.22,9.4
333,0.56,16.0,44.0,3.13,11.0
334,0.65,17.0,38.0,3.34,11.7
335,0.695,7.0,21.0,3.17,12.2
336,0.43,6.0,16.0,3.35,12.5
337,0.43,29.0,58.0,3.31,10.3
338,0.49,28.0,99.0,3.16,11.5
339,0.28,12.0,29.0,3.11,9.8
340,0.34,10.0,21.0,3.12,9.2
341,0.42,5.0,18.0,3.21,11.3
342,0.39,6.0,14.0,3.3,9.8
343,0.39,6.0,14.0,3.3,9.8
344,0.57,6.0,32.0,3.12,10.7
345,0.685,40.0,63.0,3.6,9.9
346,0.815,17.0,34.0,3.58,12.3
347,0.49,6.0,15.0,3.02,12.0
348,0.56,15.0,46.0,3.11,10.0
349,0.785,11.0,28.0,3.36,9.4
350,0.67,17.0,34.0,3.28,9.9
351,0.795,11.0,26.0,3.35,9.4
352,0.665,8.0,19.0,3.27,9.3
353,0.53,23.0,77.0,3.18,13.0
354,0.21,40.5,165.0,3.25,11.9
355,0.75,17.0,32.0,3.55,12.8
356,0.41,29.0,55.0,3.26,11.0
357,0.42,12.0,29.0,3.24,11.7
358,0.43,10.0,23.0,3.15,10.4
359,0.38,10.0,41.0,3.17,9.8
360,0.7,14.0,81.0,3.19,9.4
361,0.45,21.0,50.0,3.37,9.9
362,0.58,6.0,37.0,3.05,10.0
363,0.46,6.0,15.0,2.99,10.2
364,0.615,7.0,42.0,3.07,10.0
365,0.42,7.0,21.0,3.26,11.8
366,0.615,7.0,42.0,3.07,10.0
367,0.575,11.0,24.0,3.16,9.0
368,0.34,15.0,75.0,3.18,9.4
369,0.27,6.0,18.0,3.2,12.0
370,0.765,35.0,63.0,3.57,9.9
371,0.24,11.0,25.0,3.32,8.7
372,0.28,26.0,46.0,3.32,10.6
373,0.55,12.0,72.0,3.05,9.2
374,0.41,6.0,47.0,3.01,10.8
375,0.54,6.0,15.0,3.01,11.8
376,0.45,19.0,47.0,3.26,11.0
377,0.27,6.0,18.0,3.2,12.0
378,0.625,6.0,24.0,3.11,13.3
379,0.42,24.0,60.0,3.31,10.8
380,0.26,11.0,27.0,3.21,9.4
381,0.415,17.0,43.0,3.06,10.0
382,0.26,11.0,27.0,3.21,9.4
383,0.26,11.0,27.0,3.21,9.4
384,0.51,23.0,54.0,3.42,9.2
385,0.63,11.0,37.0,3.43,9.7
386,0.54,23.0,48.0,3.41,9.2
387,0.66,17.0,42.0,3.31,9.6
388,0.46,23.0,53.0,3.43,9.2
389,0.38,16.0,49.0,3.19,10.0
390,0.85,12.0,88.0,3.56,12.9
391,0.415,17.0,43.0,3.06,10.0
392,0.37,6.0,26.0,3.18,9.5
393,0.665,13.0,95.0,3.16,9.1
394,0.6,6.0,25.0,3.03,9.9
395,0.37,7.0,38.0,3.22,13.0
396,0.735,68.0,124.0,3.47,9.9
397,0.59,13.0,49.0,3.18,11.0
398,0.59,13.0,49.0,3.18,11.0
399,0.765,9.0,42.0,3.1,9.4
400,0.735,68.0,124.0,3.47,9.9
401,0.26,20.0,38.0,3.29,10.8
402,0.48,19.0,64.0,3.1,10.5
403,0.6,10.0,41.0,3.15,10.5
404,0.69,15.0,27.0,3.26,9.1
405,0.31,11.0,25.0,3.36,10.1
406,0.44,9.0,28.0,3.24,10.8
407,0.39,12.0,30.0,3.18,10.8
408,0.34,6.0,16.0,3.19,11.3
409,0.46,26.0,49.0,3.05,9.6
410,0.43,26.0,86.0,3.38,9.5
411,0.45,23.0,78.0,3.38,9.5
412,0.735,15.0,77.0,3.27,9.3
413,0.4,6.0,19.0,3.27,11.7
414,0.52,24.0,122.0,3.26,9.5
415,0.725,31.0,134.0,3.32,9.3
416,0.48,6.0,20.0,3.26,11.7
417,0.58,34.0,124.0,3.44,10.5
418,0.38,7.0,20.0,3.24,10.4
419,0.77,34.0,52.0,3.62,9.9
420,0.56,35.0,67.0,3.28,11.8
421,0.84,32.0,48.0,3.52,12.3
422,0.96,15.0,60.0,3.36,10.9
423,0.24,6.0,24.0,3.15,11.0
424,0.96,15.0,60.0,3.36,10.9
425,0.84,32.0,48.0,3.52,12.3
426,0.67,19.0,48.0,3.49,11.4
427,0.78,6.0,32.0,3.26,10.6
428,0.52,9.0,30.0,3.24,9.3
429,0.84,13.0,35.0,3.1,10.4
430,0.24,6.0,24.0,3.15,11.0
431,0.55,21.0,66.0,3.25,9.2
432,0.37,12.0,24.0,3.0,12.8
433,0.39,6.0,18.0,3.16,9.5
434,0.41,22.0,54.0,3.15,9.9
435,0.39,6.0,18.0,3.16,9.5
436,0.67,38.0,62.0,3.26,10.2
437,0.45,6.0,22.0,3.17,11.2
438,0.41,22.0,54.0,3.15,9.9
439,0.62,7.0,50.0,3.08,9.3
440,0.31,6.0,29.0,2.88,9.8
441,0.4,7.0,27.0,3.06,11.3
442,0.685,6.0,43.0,2.95,11.2
443,0.44,11.0,19.0,3.23,11.6
444,0.57,5.0,27.0,3.57,12.5
445,0.735,6.0,31.0,3.23,10.1
446,0.38,31.0,72.0,3.1,10.5
447,0.48,6.0,16.0,3.22,11.2
448,0.53,7.0,27.0,3.2,10.2
449,0.39,17.0,35.0,3.1,10.8
450,0.39,17.0,35.0,3.1,10.8
451,0.37,9.0,26.0,3.06,9.1
452,0.56,18.0,35.0,3.44,10.0
453,0.33,5.0,22.0,3.26,11.2
454,0.23,21.0,67.0,3.5,11.1
455,0.62,6.0,19.0,3.22,13.4
456,0.59,5.0,22.0,3.37,10.3
457,0.63,29.0,65.0,3.28,9.6
458,0.33,5.0,22.0,3.26,11.2
459,0.58,10.0,47.0,3.25,9.0
460,0.43,14.0,23.0,3.35,11.3
461,0.615,6.0,19.0,3.26,9.3
462,0.26,10.0,25.0,3.18,11.8
463,0.66,25.0,129.0,3.08,9.0
464,0.315,5.0,15.0,2.98,9.2
465,0.29,10.0,26.0,3.48,9.7
466,0.5,21.0,51.0,3.16,11.5
467,0.46,7.0,18.0,3.32,14.0
468,0.36,6.0,21.0,3.17,9.2
469,0.82,36.0,48.0,3.2,9.8
470,0.32,15.0,47.0,3.05,10.6
471,0.54,25.0,52.0,3.2,11.4
472,0.37,25.0,68.0,3.15,10.4
473,0.35,5.0,14.0,3.26,10.6
474,0.28,10.0,24.0,3.2,9.4
475,0.68,5.0,28.0,3.14,10.2
476,0.27,6.0,16.0,3.28,9.7
477,0.24,6.0,20.0,3.18,11.0
478,0.68,5.0,28.0,3.14,10.2
479,0.685,6.0,31.0,3.19,10.1
480,0.28,6.0,23.0,3.12,9.2
481,0.3,6.0,17.0,3.15,11.7
482,0.36,6.0,18.0,3.04,9.4
483,0.36,7.0,18.0,3.04,9.4
484,0.44,6.0,24.0,3.06,13.4
485,0.67,6.0,17.0,3.17,10.0
486,0.67,6.0,17.0,3.17,10.0
487,0.645,5.0,14.0,3.17,10.0
488,0.32,35.0,67.0,3.32,10.8
489,0.39,10.0,26.0,3.34,10.2
490,0.775,24.0,56.0,3.31,10.6
491,0.41,12.0,25.0,3.34,13.3
492,0.4,13.0,27.0,3.32,13.4
493,0.69,23.0,81.0,3.48,11.6
494,0.39,28.0,91.0,3.44,12.1
495,0.35,5.0,16.0,3.15,11.0
496,0.52,14.0,38.0,3.43,9.0
497,0.34,43.0,113.0,3.32,11.1
498,0.35,5.0,16.0,3.15,11.0
499,0.69,23.0,81.0,3.48,11.6
500,0.52,14.0,38.0,3.43,9.0
501,0.44,38.0,76.0,3.17,12.0
502,0.44,38.0,76.0,3.17,12.0
503,0.26,6.0,24.0,3.18,10.9
504,0.24,6.0,22.0,3.21,10.8
505,0.49,10.0,26.0,3.16,12.5
506,0.24,6.0,21.0,3.25,10.8
507,0.67,6.0,13.0,3.17,9.5
508,0.59,26.0,62.0,3.18,10.2
509,0.29,23.0,43.0,3.04,11.4
510,0.42,19.0,43.0,3.02,9.5
511,0.59,26.0,62.0,3.18,10.2
512,0.4,15.0,49.0,3.03,9.7
513,0.51,6.0,15.0,3.09,11.8
514,0.51,6.0,15.0,3.09,11.8
515,0.655,34.0,151.0,3.31,9.3
516,0.6,5.0,14.0,3.25,11.9
517,0.61,5.0,16.0,3.16,8.4
518,0.21,11.0,32.0,3.22,11.7
519,0.365,39.0,106.0,3.36,11.0
520,0.25,15.0,33.0,3.42,10.0
521,0.41,16.0,43.0,3.48,9.1
522,0.39,47.0,133.0,3.38,9.8
523,0.4,38.0,142.0,3.22,9.4
524,0.43,23.0,116.0,3.23,9.5
525,0.64,29.0,53.0,3.24,9.9
526,0.365,39.0,106.0,3.36,11.0
527,0.38,33.0,85.0,3.39,11.4
528,0.42,32.0,55.0,3.34,8.7
529,0.63,6.0,33.0,3.09,9.4
530,0.22,1.0,28.0,3.41,10.3
531,0.38,12.0,42.0,3.16,10.3
532,0.38,12.0,42.0,3.16,10.3
533,0.27,15.0,33.0,3.22,12.8
534,0.48,13.0,32.0,3.28,10.0
535,0.22,1.0,28.0,3.41,10.3
536,0.63,6.0,33.0,3.09,9.4
537,0.825,5.0,13.0,3.37,10.7
538,0.35,5.0,35.0,3.2,12.0
539,0.5,5.0,17.0,3.22,11.2
540,0.59,20.0,47.0,3.26,9.6
541,0.46,5.0,17.0,3.21,11.0
